!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
						般若波羅蜜多心經-梵文音譯	宋 慈賢譯	1
	1712	1591	(百)	1496	(勒)	般若波羅蜜多心經略疏	唐 法藏述	1
	1714	1606	(主)	1618	(務)	般若波羅蜜多心經註解	明 宗[江-工+防]．如[王*巳]同註	1
	1566	1177	(惻造)	1178	(惻造)	般若燈論釋	偈本龍樹菩薩　釋論分別明菩薩　唐 波羅頗蜜多羅譯	15
	1293					般若守護十六善神王形體	唐 金剛智譯	1
						般若心經大意	清 王起隆述	1
						般若心經發隱	明 正相解	1
						般若心經概論	明 林兆恩撰	1
						般若心經貫義	明 弘贊述	1
						般若心經彙纂	清 孫念劬纂	1
						般若心經際決	明 大慧釋	1
						般若心經解	清 徐昌治解	1
						般若心經解義	清 徐槐廷解義	1
						般若心經解義節要	明 宋濂文句	1
						般若心經句解易知	清 王澤泩註解	1
						般若心經開度	明 弘麗著	1
						般若心經理性解	清 續法述	1
						般若心經論	清 函[曰/正]撰	1
						般若心經略疏	唐 明曠述	1
	1713	1592	(百)			般若心經略疏連珠記	宋 師會述	2
						般若心經略疏顯正記	唐 法藏疏　宋 仲希說	3
						般若心經略疏小鈔	明 錢謙益集	2
						般若心經請益說	清 道霈說	1
						般若心經如是經義	清 行敏述	1
						般若心經三注	唐 慧忠著　宋 道楷述、懷深述	1
						般若心經釋略	明 林兆恩撰	1
						般若心經釋要	明 智旭述	1
						般若心經釋疑	明 謝觀光釋	1
						般若心經釋義	明 謝觀光釋	1
						般若心經事觀解	清 續法述	1
						般若心經疏	唐 慧淨作	1
						般若心經疏	唐 靖邁撰	1
						般若心經疏	宋 智圓述	1
						般若心經疏詒謀鈔	宋 智圓撰	1
						般若心經說	明 真可說	1
						般若心經說	明 洪恩述	1
						般若心經提綱	明 李贄撰	1
						般若心經添足	明 弘贊述	1
						般若心經小談	明 觀衡述	1
						般若心經要論	明 真可說	1
						般若心經一貫疏	明 益證疏	1
						般若心經易解	清 謝承謨註釋	1
	1710					般若波羅蜜多心經幽[(夫*夫)/貝]	唐 窺基撰	2
						般若心經幽贊崆峒記	宋 守千集	3
						般若心經幽贊添改科	宋 守千添改	1
	1711					般若波羅蜜多心經[(夫*夫)/貝]	唐 圓測撰	1
						般若心經正眼	明 大文述	1
						般若心經直說	明 德清述	1
						般若心經直談	明 真可撰	1
						般若心經指掌	明 元賢述	1
						般若心經註	中天竺 提婆註	1
						般若心經注	宋 道隆述	1
						般若心經注解	明 真可撰	1
						般若心經註解	明 諸萬里註	1
						般若心經註解	明 何道全註	1
						般若心經註解		2
						般若心經註解	清 大顛祖師註解	1
						般若心經註解	清 敬止撰	1
						般若心經註解	清 孚佑帝君註解	2
						般若心經註講	清 行敏述	1
						般若心經註疏	清 仲之屏纂註	1
						般若心經[(留-田+亞)*斤]輪解	明 通容述	1
	0418	0069	(伐)	0069	(伐)	般舟三昧經	後漢 支婁迦讖譯	3
	0417					般舟三昧經	後漢 支婁迦讖譯	1
	1981					依觀經等明般舟三昧行道往生讚	唐 善導撰	1
	0831	0238	(男)	0239	(男)	謗佛經	元魏 菩提流支譯	1
	0317	0029	(服)	0029	(服)	佛說胞胎經	西晉 竺法護譯	1
						寶持禪師語錄		1
	0397-p09					寶幢分	北涼 曇無讖譯	1
	1377	0934	(夙)	0935	(夙)	佛說寶帶陀羅尼經	宋 施護譯	1
	0310-s47					寶髻經	西晉 竺法護譯	2
