!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
敦10	1857	1642	(敦)	1462	(書)	寶藏論	後秦 僧肇著	1
	1283	1040	(止)	1041	(止)	佛說寶藏神大明曼拏羅儀軌經	宋 法天譯	2
知03	0686	0299	(知)	0300	(知)	佛說報恩奉盆經	失譯	1
及10	0157	0138	(及)	0138	(及)	悲華經	北涼 曇無讖譯	10
良08	0713	0273	(良)	0274	(良)	貝多樹下思惟十二因緣經	吳 支謙譯	1
興08	0159	0949	(興)	0950	(興)	大乘本生心地觀經	唐 般若譯	8
孝07	0765	0709	(孝)	0710	(孝)	本事經	唐 玄奘譯	7
	0036	0596	(善)	0597	(善)	本相猗致經	後漢 安世高譯	1
孝09	0503	0720	(孝)	0721	(孝)	比丘避女惡名欲自殺經	西晉 法炬譯	1
	1427	1144	(隨)	1145	(隨)	摩訶僧祇比丘尼戒本	東晉 法顯共覺賢譯	1
	2063	1489	(微)	1467	(俠)	比丘尼傳	梁 寶唱撰	4
當04	0504	0731	(當)	0732	(當)	比丘聽施經	東晉 曇無蘭譯	1
則09	1480	0818	(則)	0819	(則)	佛說苾芻迦尸迦十法經	宋 法天譯	1
則09	1479	0817	(則)	0818	(則)	佛說苾芻五法經	宋 法天譯	1
	1406	0475	(行)	0476	(行)	佛說辟除賊害咒經	舊失譯人名今附東晉錄	1
	1407	0889	(臨)	0890	(臨)	佛說辟除諸惡陀羅尼經	宋 法賢譯	1
緣09	0090	0576	(緣)	0577	(緣)	鞞摩肅經	劉宋 求那跋陀羅譯	1
筵08	1547	1271	(肆筵)	1272	(肆筵)	鞞婆沙論	尸陀槃尼撰　符秦 僧伽跋澄譯	14
緣06	0067	0569	(緣)	0570	(緣)	弊魔試目連經	吳 支謙譯	1
命09	0242	0856	(命)	0857	(命)	佛說遍照般若波羅蜜經	宋 施護譯	1
潔06	0830	0218	(潔)	0219	(潔)	大乘遍照光明藏無字法門經	唐 地婆訶羅再譯	1
岳05	2116	1599	(嶽)	1615	(於)	辯偽錄	元 祥邁撰	5
	0544	0763	(當)	0764	(當)	辯意長者子經	後魏 法場譯	1
旦09	2110	1493	(旦)	1517	(奄)	辯正論	唐 法琳撰	8
靜10	1600	1237	(靜)	1238	(靜)	辯中邊論	世親菩薩造　唐 玄奘譯	3
靜10	1601	1238	(靜)	1239	(靜)	辯中邊論頌	彌勒菩薩說　唐 玄奘譯	1
因08	0100	0541	(禍因)	0542	(禍因)	別譯雜阿含經	失譯	16
	1690	1339	(墳)	1340	(墳)	賓頭盧突羅闍為優陀延王說法經	劉宋 求那跋陀羅譯	1
	1384	0882	(臨)	0883	(臨)	佛說[金*本]蘭那賒[口*縛]哩大陀羅尼經	宋 法賢譯	1
	1426	1152	(外)	1153	(外)	摩訶僧祇律大比丘戒本	東晉 佛陀跋陀羅譯	1
	0122	0609	(善)	0610	(善)	佛說波斯匿王太后崩塵土坌身經	西晉 法炬譯	1
	0790	0374	(彼)	0375	(彼)	佛說孛經抄	吳 支謙譯	1
則02	0705	0804	(則)	0805	(則)	佛說布施經	宋 法賢譯	1
席10	2033	1277	(席)	1278	(席)	部執異論	天友菩薩造　陳 真諦譯	1
被10	0645	0128	(被)	0128	(被)	不必定入定入印經	元魏 瞿曇般若流支譯	1
	1202	1418	(鍾)	1419	(鍾)	不動使者陀羅尼祕密法	唐 金剛智譯	1
	1002	0996	(斯)	0997	(斯)	不空[罩-卓+絹]索毘盧遮那佛大灌頂光真言	唐 不空譯	1
	1092	0312	(必改得)	0313	(必改得)	不空[罩-卓+絹]索神變真言經	唐 菩提流志譯	30
	1094	0311	(過)	0312	(過)	不空[罩-卓+絹]索神咒心經	唐 玄奘譯	1
	1096	0309	(過)	0310	(過)	不空[罩-卓+絹]索陀羅尼經	唐 李無諂譯	1
	1097	0308	(過)	0309	(過)	不空[罩-卓+絹]索陀羅尼自在王咒經	唐 寶思惟譯	3
	1093	0307	(過)	0308	(過)	不空[罩-卓+絹]索咒經	隋 闍那崛多譯	1
	1095	0310	(過)	0311	(過)	不空[罩-卓+絹]索咒心經	唐 菩提流志譯	1
信04	0445	0407	(信)	0408	(信)	佛說不思議功德諸佛所護念經	失譯	2
短07	0484	0391	(短)	0392	(短)	不思議光菩薩所說經	後秦 鳩摩羅什譯	1
	0843	0930	(薄)	0931	(薄)	佛說大乘不思議神通境界經	宋 施護譯	3
髮06	0267	0153	(發)	0153	(發)	不退轉法輪經	失譯	4
	0668	0519	(維)	0520	(維)	佛說不增不減經	元魏 菩提流支譯	1
慶10	0107	0650	(慶)	0651	(慶)	佛說不自守意經	吳 支謙譯	1
	0510	0268	(良)	0269	(良)	採花違王上佛授決號妙花經	東晉 竺曇無蘭譯	1
公10	1909	1501	(公)	1466	(路)	慈悲道場懺法	梁 諸大法師集撰	10
輔10	1910	1515	(輔)	1570	(馳)	慈悲水懺法	失譯撰人名	3
臨08	1143	0884	(臨)	0885	(臨)	佛說慈氏菩薩誓願陀羅尼經	宋 法賢譯	1
